2026-03-11 17:20:10 INFO  c.d.f.controller.AgreementController - JWT generado correctamente
2026-03-11 17:20:10 INFO  c.d.f.controller.AgreementController - redireccionando al website
2026-03-11 17:20:13 INFO  c.d.f.controller.UserController - GET /api/users/user - fetch logged user data
2026-03-11 17:20:13 INFO  c.d.f.controller.AgreementController - GET /api/agreement/bySupplier/06590e1a-78f0-4f63-9ef7-5ded8127a0e8 - fetch agreements by supplier
2026-03-11 17:20:13 INFO  c.d.f.controller.AgreementController - Found 1 agreements for supplier 06590e1a-78f0-4f63-9ef7-5ded8127a0e8
2026-03-11 17:20:16 INFO  c.d.f.controller.EntityController - GET /api/entities/06590e1a-78f0-4f63-9ef7-5ded8127a0e8 - get entity by id
2026-03-11 17:20:16 INFO  c.d.f.controller.EntityController - Entity found for id=06590e1a-78f0-4f63-9ef7-5ded8127a0e8
2026-03-11 17:20:16 INFO  c.d.f.c.OperationsController - POST /api/operations/calculate - Received 3 calculation items
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Iniciando cálculo para 3 item(s).
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Parámetros para esta transacción -> Interés=0.0725, Comisión=0.0025, Base=365, Days={}
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Tasa de descuento: 0.07180116821525
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Factor de descuento: 0.9903609409
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Tasa de descuento: 0.07170243335800
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Factor de descuento: 0.9889990808
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Tasa de descuento: 0.07170243335800
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Factor de descuento: 0.9889990808
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Cálculo finalizado. Total a desembolsar: 1007752.50951207955112216000
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Cálculo finalizado. Comisión total: 2882.912500
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Monto total a financiar: 1010635.4220564000
2026-03-11 17:20:16 INFO  c.d.f.service.OperationsService - Monto total: 1020500
2026-03-11 17:20:16 INFO  c.d.f.c.OperationsController - Calculation successful for 3 items
2026-03-11 17:20:25 INFO  c.d.f.c.OperationsController - POST /api/operations/calculate - Received 2 calculation items
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Iniciando cálculo para 2 item(s).
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Parámetros para esta transacción -> Interés=0.0725, Comisión=0.0025, Base=365, Days={}
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Tasa de descuento: 0.07180116821525
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Factor de descuento: 0.9903609409
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Tasa de descuento: 0.07170243335800
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Factor de descuento: 0.9889990808
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Cálculo finalizado. Total a desembolsar: 997644.22518422677885608000
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Cálculo finalizado. Comisión total: 2853.956250
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Monto total a financiar: 1000498.1814782000
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Monto total: 1010250
2026-03-11 17:20:25 INFO  c.d.f.c.OperationsController - Calculation successful for 2 items
2026-03-11 17:20:25 INFO  c.d.f.c.OperationsController - POST /api/operations/calculate - Received 1 calculation items
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Iniciando cálculo para 1 item(s).
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Parámetros para esta transacción -> Interés=0.0725, Comisión=0.0025, Base=365, Days={}
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Tasa de descuento: 0.07180116821525
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Factor de descuento: 0.9903609409
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Cálculo finalizado. Total a desembolsar: 987535.94085637400659000000
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Cálculo finalizado. Comisión total: 2825.000000
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Monto total a financiar: 990360.9409000000
2026-03-11 17:20:25 INFO  c.d.f.service.OperationsService - Monto total: 1000000
2026-03-11 17:20:25 INFO  c.d.f.c.OperationsController - Calculation successful for 1 items
2026-03-11 17:20:52 INFO  c.d.f.c.OperationsController - POST /api/operations/calculate - Received 1 calculation items
2026-03-11 17:20:52 INFO  c.d.f.service.OperationsService - Iniciando cálculo para 1 item(s).
2026-03-11 17:20:52 INFO  c.d.f.service.OperationsService - Parámetros para esta transacción -> Interés=0.0725, Comisión=0.0025, Base=365, Days={}
2026-03-11 17:20:52 INFO  c.d.f.service.OperationsService - Tasa de descuento: 0.07180116821525
2026-03-11 17:20:52 INFO  c.d.f.service.OperationsService - Factor de descuento: 0.9903609409
2026-03-11 17:20:52 INFO  c.d.f.service.OperationsService - Cálculo finalizado. Total a desembolsar: 987535.94085637400659000000
2026-03-11 17:20:52 INFO  c.d.f.service.OperationsService - Cálculo finalizado. Comisión total: 2825.000000
2026-03-11 17:20:52 INFO  c.d.f.service.OperationsService - Monto total a financiar: 990360.9409000000
2026-03-11 17:20:52 INFO  c.d.f.service.OperationsService - Monto total: 1000000
2026-03-11 17:20:52 INFO  c.d.f.c.OperationsController - Calculation successful for 1 items
